lugarNac,nombre
"in Ulm, Germany","Albert Einstein
    "
"in Röcken bei Lützen, Prussian Province of Saxony, Germany","Friedrich Nietzsche
    "
in The United States,"Eleanor Roosevelt
    "
"in Waco, Texas, The United States","Steve Martin
    "
"in Milan, Ohio, The United States","Thomas A. Edison
    "
"in Harlem, New York, The United States","James Baldwin
    "
"in Parral, Chile","Pablo Neruda
    "
"in Nine Mile, Saint Ann, Jamaica","Bob Marley
    "
"in Sighet, Romania","Elie Wiesel
    "
in The United States,"Allen Saunders
    "
"in Cambridge, England, The United Kingdom","Douglas Adams
    "
"in Florida, Missouri, The United States","Mark Twain
    "
"in New York, New York, The United States","George Carlin
    "
"in Beaconsfield, Buckinghamshire, England, The United Kingdom","Terry Pratchett
    "
"in Somersby, Lincolnshire, The United Kingdom","Alfred Tennyson
    "
"in Kirriemuir, Angus, Scotland, The United Kingdom","J.M. Barrie
    "
"in Belfast, Ireland","C.S. Lewis
    "
"in Cambridge, Massachusetts, The United States","E.E. Cummings
    "
"in Andernach, Germany","Charles Bukowski
    "
"in Minneapolis, MN, The United States","Charles M. Schulz
    "
"in Hartford, Connecticut, The United States","Suzanne Collins
    "
"in Greenville, Mississippi, The United States","Jim Henson
    "
"in Anoka, Minnesota, The United States","Garrison Keillor
    "
"in Springfield, MA, The United States","Dr. Seuss
    "
"in Darby, Pennsylvania, The United States","W.C. Fields
    "
"in Skopje, Macedonia, the Former Yugoslav Republic of","Mother Teresa
    "
"in Connecticut, The United States","Stephenie Meyer
    "
"in Boston, Massachusetts, The United States","Ralph Waldo Emerson
    "
"in Manhattan, New York, The United States","J.D. Salinger
    "
"in Bayonne, New Jersey, The United States","George R.R. Martin
    "
"in Lewes, Sussex, The United Kingdom","William Nicholson
    "
"in Dublin, Ireland","George Bernard Shaw
    "
"in New York City, New York, The United States","Madeleine L'Engle
    "
"in Buenos Aires, Argentina","Jorge Luis Borges
    "
"in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom","George Eliot
    "
"in Oak Park, Illinois, The United States","Ernest Hemingway
    "
"in Seattle, Washington, The United States","Jimi Hendrix
    "
"in Atlanta, Georgia, The United States","Martin Luther King Jr.
    "
"in Paris, France","André Gide
    "
in The United States,"Marilyn Monroe
    "
"in Steventon Rectory, Hampshire, The United Kingdom","Jane Austen
    "
"in Yate, South Gloucestershire, England, The United Kingdom","J.K. Rowling
    "
"in Liverpool, England, The United Kingdom","John Lennon
    "
"in Tuscumbia, Alabama, The United States","Helen Keller
    "
"in Paris, France","Alexandre Dumas-fils
    "
"in Kyoto, Japan","Haruki Murakami
    "
"in Bloemfontein, Mangaung, Free State, South Africa","J.R.R. Tolkien
    "
"in St. Petersburg, Russian Federation","Ayn Rand
    "
"in Kabul, Afghanistan","Khaled Hosseini
    "
"in Monroeville, Alabama, The United States","Harper Lee
    "
