category,link,listed,name,price
Scotch Whisky,https://www.whiskyshop.com/glenlassaugh-50-year-old,https://www.whiskyshop.com/scotch-whisky,Glenlassaugh 50 Year Old,"5,500.00"
Scotch Whisky,https://www.whiskyshop.com/braes-of-glenlivet-1975-connoisseurs-choice,https://www.whiskyshop.com/scotch-whisky,Braes of Glenlivet 1975 Connoisseurs Choice,465.00
Scotch Whisky,https://www.whiskyshop.com/glenfarclas-105-185th-anniversary,https://www.whiskyshop.com/scotch-whisky,Glenfarclas 185th Anniversary ,130.00
Scotch Whisky,https://www.whiskyshop.com/octomore-9-year-old-release-11941-the-stories-of-the-wind-and-the-waves-2-the-character-of-islay-whisky-company,https://www.whiskyshop.com/scotch-whisky,Character of Islay Octomore 9 Year Old Release #11941 Wind & Waves 2 ,186.95
Scotch Whisky,https://www.whiskyshop.com/the-octave-glen-elgin-2010-10-year-old-tws-exclusive,https://www.whiskyshop.com/scotch-whisky,The Octave Glen Elgin 2010 10 Year Old,105.00
Scotch Whisky,https://www.whiskyshop.com/the-octave-bunnahabhain-peated-2014-6-year-old,https://www.whiskyshop.com/scotch-whisky,The Octave Bunnahabhain Peated 2014 6 Year Old,76.00
Scotch Whisky,https://www.whiskyshop.com/gordon-macphail-smith-s-glenlivet-1966-47-year-old,https://www.whiskyshop.com/scotch-whisky,Gordon & MacPhail Smith's Glenlivet 1966 47 Year Old,999.00
Scotch Whisky,https://www.whiskyshop.com/glenlivet-1949-gordon-macphail,https://www.whiskyshop.com/scotch-whisky,Gordon & MacPhail Glenlivet 1949 ,"3,850.00"
Scotch Whisky,https://www.whiskyshop.com/port-charlotte-islay-barley-2013,https://www.whiskyshop.com/scotch-whisky,Port Charlotte Islay Barley 2013 ,65.00
Scotch Whisky,https://www.whiskyshop.com/bruichladdich-bere-barley-2011,https://www.whiskyshop.com/scotch-whisky,Bruichladdich Bere Barley 2011 ,70.00
Scotch Whisky,https://www.whiskyshop.com/glen-grant-1950-68-year-old,https://www.whiskyshop.com/scotch-whisky,Glen Grant 1950 68 Year Old ,"4,999.99"
Scotch Whisky,https://www.whiskyshop.com/linkwood-1981-private-collection,https://www.whiskyshop.com/scotch-whisky,Linkwood 1981 Private Collection ,"1,250.00"
Scotch Whisky,https://www.whiskyshop.com/linkwood-1980-40-year-old-private-collection,https://www.whiskyshop.com/scotch-whisky,Linkwood 1980 40 Year Old Private Collection ,999.99
Scotch Whisky,https://www.whiskyshop.com/rare-auld-grain-strathclyde-sherry-cask-1990-30-year-old,https://www.whiskyshop.com/scotch-whisky,Rare Auld Grain Strathclyde Sherry Cask 1990 30 Year Old,200.00
Scotch Whisky,https://www.whiskyshop.com/dimensions-linkwood-2009-12-year-old,https://www.whiskyshop.com/scotch-whisky,Dimensions Linkwood 2009 12 Year Old,89.99
Scotch Whisky,https://www.whiskyshop.com/dimensions-highland-park-2007-13-year-old,https://www.whiskyshop.com/scotch-whisky,Dimensions Highland Park 2007 13 Year Old,114.00
Scotch Whisky,https://www.whiskyshop.com/dimensions-glengarioch-2011-10-year-old,https://www.whiskyshop.com/scotch-whisky,Dimensions Glen Garioch 2011 10 Year Old,85.00
Scotch Whisky,https://www.whiskyshop.com/dimensions-brackla-sherry-cask-2011-10-year-old,https://www.whiskyshop.com/scotch-whisky,Dimensions Brackla Sherry Cask 2011 10 Year Old,75.00
Scotch Whisky,https://www.whiskyshop.com/dimensions-benriach-2008-12-year-old,https://www.whiskyshop.com/scotch-whisky,Dimensions Benriach 2008 12 Year Old,93.99
Scotch Whisky,https://www.whiskyshop.com/dimensions-auchindoun-sherry-cask-2008-13-year-old,https://www.whiskyshop.com/scotch-whisky,Dimensions Auchindoun Sherry Cask 2008 13 Year Old,90.00
Scotch Whisky,https://www.whiskyshop.com/benromach-2012-peat-smoke-sherry-cask-matured,https://www.whiskyshop.com/scotch-whisky,Benromach 2012 Peat Smoke Sherry Cask Matured,49.99
Scotch Whisky,https://www.whiskyshop.com/singleton-of-dufftown-25-year-old,https://www.whiskyshop.com/scotch-whisky,Singleton of Dufftown 25 Year Old,330.00
Scotch Whisky,https://www.whiskyshop.com/singleton-of-duffton-21-year-old,https://www.whiskyshop.com/scotch-whisky,Singleton of Dufftown 21 Year Old,180.00
Scotch Whisky,https://www.whiskyshop.com/bunnahabhain-19yo-wind-and-the-waves-2,https://www.whiskyshop.com/scotch-whisky,Character of Islay Bunnahabhain 19 Year Old Wind & Waves 2,264.95
Scotch Whisky,https://www.whiskyshop.com/bunnahabhain-2008-10yo-wind-and-the-waves-2,https://www.whiskyshop.com/scotch-whisky,Character of Islay Bunnahabhain 10 Year Old Wind & Waves 2,98.95
Scotch Whisky,https://www.whiskyshop.com/bowmore-18yo-2002-wind-and-the-waves-2,https://www.whiskyshop.com/scotch-whisky,Character of Islay Bowmore 18 Year Old Wind & Waves 2,264.95
Scotch Whisky,https://www.whiskyshop.com/highland-park-2008-13yo-octave-tws-exclusive-70cl,https://www.whiskyshop.com/scotch-whisky,Highland Park 2008 13yo Octave TWS Exclusive 70cl,129.00
Scotch Whisky,https://www.whiskyshop.com/loch-lomond-12yo-glass-20cl,https://www.whiskyshop.com/scotch-whisky,Loch Lomond 12 Year Old & Glass 20cl,26.00
Scotch Whisky,https://www.whiskyshop.com/allt-a-bhaine-1996-rare-find-tws-exclusive,https://www.whiskyshop.com/scotch-whisky,Rare Find Allt a Bhaine 24 Year Old,150.00
Scotch Whisky,https://www.whiskyshop.com/laphroaig-16yo-2004-first-fill-sherry-octave,https://www.whiskyshop.com/scotch-whisky,The Octave Laphroaig 2004 16 Year Old,365.00
Scotch Whisky,https://www.whiskyshop.com/gordon-macphail-linkwood-25-year-old-distillery-label,https://www.whiskyshop.com/scotch-whisky,Gordon & MacPhail Linkwood 25 Year Old Distillery Label,180.00
Scotch Whisky,https://www.whiskyshop.com/connoisseurs-choice-littlemill-1991,https://www.whiskyshop.com/scotch-whisky,Littlemill 1991 Connoisseurs Choice,350.00
Scotch Whisky,https://www.whiskyshop.com/glendronach-1993-26-year-old-8635-tws-exclusive,https://www.whiskyshop.com/scotch-whisky,GlenDronach 1993 26 Year Old #8635,385.00
Scotch Whisky,https://www.whiskyshop.com/strathclyde-31-year-old-batch-4-that-boutiquey-whisky-company,https://www.whiskyshop.com/scotch-whisky,Strathclyde 31 Year Old Batch 4 That Boutique-y Whisky Company,69.95
Scotch Whisky,https://www.whiskyshop.com/blended-malt-25-year-old-that-boutique-y-whisky-company,https://www.whiskyshop.com/scotch-whisky,Blended Malt #1 25 Year Old That Boutique-y Whisky Company,125.95
Scotch Whisky,https://www.whiskyshop.com/loch-lomond-25-year-old,https://www.whiskyshop.com/scotch-whisky,Loch Lomond 25 Year Old Lee Westwood,385.00
Scotch Whisky,https://www.whiskyshop.com/macphails-collection-glen-scotia-1992,https://www.whiskyshop.com/scotch-whisky,The MacPhail's Collection Glen Scotia 1992,199.00
Scotch Whisky,https://www.whiskyshop.com/benromach-1977-1266,https://www.whiskyshop.com/scotch-whisky,Benromach 1977 #1266,999.00
